ticker,min_date,max_date
A,1999-11-18,2017-11-06
AA,2016-11-01,2017-11-06
AAL,2005-09-27,2017-11-06
AAMC,2012-12-13,2017-11-06
AAN,1984-09-07,2017-11-06
AAOI,2013-09-26,2017-11-06
AAON,1992-12-16,2017-11-06
AAP,2001-11-29,2017-11-06
AAPL,1980-12-12,2017-11-06
AAT,2011-01-13,2017-11-06
AAWW,2005-11-09,2017-11-06
ABAX,1992-01-23,2017-11-06
ABBV,2013-01-02,2017-11-03
ABC,1995-04-04,2017-11-06
ABCB,1994-05-19,2017-11-06
ABCO,2001-11-13,2017-11-06
ABFS,1992-05-13,2014-04-30
ABG,2002-03-21,2017-11-06
ABM,1984-07-19,2017-11-06
ABMD,1987-07-30,2017-11-06
ABT,1983-04-06,2017-11-03
ACAD,2004-05-27,2017-11-06
ACAS,1997-09-02,2017-01-03
ACAT,1990-06-27,2017-03-06
ACC,2004-08-16,2017-11-06
ACCL,1995-12-06,2014-04-29
ACCO,2005-08-17,2017-11-06
ACE,1993-03-26,2016-01-14
ACET,1990-03-26,2017-11-06
ACFN,1992-02-11,2015-07-23
ACGL,1995-09-14,2017-11-06
ACHC,1994-03-04,2017-11-06
ACHN,2006-11-09,2017-11-06
ACI,1988-08-12,2016-01-11
ACIW,1995-02-27,2017-11-06
ACLS,2000-07-11,2017-11-06
ACM,2007-05-10,2017-11-06
ACN,2001-07-19,2017-11-06
ACO,1987-08-13,2014-05-08
ACOR,2006-02-10,2017-11-06
ACRE,2012-04-27,2017-11-06
ACRX,2011-02-11,2017-11-06
ACTG,2002-12-16,2017-11-06
ACW,2010-03-03,2016-11-17
ACXM,1984-09-07,2017-11-06
ADBE,1986-08-14,2017-11-06
ADC,1994-04-15,2017-11-06
ADES,2016-05-26,2017-11-06
ADI,1984-07-19,2017-11-06
ADM,1983-04-05,2017-11-06
ADMS,2014-04-10,2017-11-06
ADNC,2012-05-11,2015-06-30
ADP,1983-04-06,2017-11-06
ADS,2001-06-15,2017-11-06
ADSK,1985-07-01,2017-11-06
ADT,2012-10-01,2016-04-29
ADTN,1994-08-10,2017-11-06
ADUS,2009-10-28,2017-11-06
ADVS,1995-11-16,2015-07-07
AE,1984-09-07,2017-11-06
AEC,1993-11-11,2015-08-06
AEE,1998-01-02,2017-11-06
AEGN,1989-04-24,2017-11-06
AEGR,2010-10-22,2016-11-29
AEIS,1995-11-17,2017-11-06
AEL,2003-12-04,2017-11-06
AEO,1994-04-14,2017-11-06
AEP,1970-01-02,2017-11-06
AEPI,1986-01-31,2017-01-20
AERI,2013-10-25,2017-11-06
AES,1991-06-26,2017-11-06
AET,1977-01-03,2017-11-06
AF,1993-11-18,2017-09-29
AFAM,1993-02-19,2017-11-06
AFFX,1996-06-06,2016-03-31
AFG,1983-04-06,2017-11-06
AFH,2013-02-12,2017-11-06
AFL,1984-07-19,2017-11-06
AFOP,2000-11-30,2016-06-06
AFSI,2006-11-28,2017-11-06
AGCO,1992-04-20,2017-11-06
AGEN,2000-02-08,2017-11-06
AGII,1986-11-14,2017-11-06
AGIO,2013-07-24,2017-11-06
AGM,1995-08-18,2017-11-06
AGN,1989-06-22,2017-11-06
AGNC,2008-05-15,2017-11-06
AGO,2004-04-23,2017-11-06
AGTC,2014-03-27,2017-11-06
AGX,1995-08-18,2017-11-06
AGYS,1990-03-26,2017-11-06
AHC,2008-02-11,2017-11-06
AHH,2013-05-08,2017-11-06
AHL,2003-12-05,2017-11-06
AHP,2013-11-06,2017-11-06
AHS,2001-11-13,2016-10-26
AHT,2003-08-26,2017-11-06
AI,1997-12-23,2017-11-06
AIG,1984-09-07,2017-11-06
AIMC,2006-12-15,2017-11-06
AIN,1987-09-30,2017-11-06
AINV,2004-05-05,2017-11-06
AIQ,2001-07-31,2017-08-18
AIR,1984-07-19,2017-11-06
AIRM,1987-08-31,2017-04-20
AIT,1984-09-07,2017-11-06
AIV,1994-07-22,2017-11-06
AIZ,2004-02-05,2017-11-06
AJG,1984-09-07,2017-11-06
AKAM,1999-10-29,2017-11-06
AKAO,2014-03-12,2017-11-06
AKBA,2014-03-20,2017-11-06
AKR,1993-05-27,2017-11-06
AKRX,2002-08-02,2017-11-06
AKS,1994-03-30,2017-11-06
AL,2011-04-19,2017-11-06
ALB,1994-02-22,2017-11-06
ALCO,1973-05-03,2017-11-06
ALDR,2014-05-08,2017-11-06
ALE,1973-05-03,2017-11-06
ALEX,2012-06-14,2017-11-06
ALG,1993-03-19,2017-11-06
ALGN,2001-01-30,2017-11-06
ALGT,2006-12-08,2017-11-06
ALIM,2010-04-22,2017-11-06
ALJ,2005-07-28,2017-06-30
ALK,1983-01-03,2017-11-06
ALKS,1991-07-16,2017-11-06
ALL,1993-06-03,2017-11-06
ALLE,2013-11-18,2017-11-06
ALNY,2004-06-01,2017-11-06
ALOG,1984-09-07,2017-11-06
ALR,1996-08-06,2017-10-02
ALSN,2012-03-15,2017-11-06
ALTR,1988-04-04,2015-12-24
ALX,1984-07-19,2017-11-06
ALXN,1996-02-28,2017-11-06
AMAG,1986-06-12,2017-11-06
AMAT,1984-09-07,2017-11-06
AMBA,2012-10-10,2017-11-06
AMBC,2013-05-01,2017-11-06
AMBR,2014-03-21,2017-11-06
AMC,2013-12-18,2017-11-06
AMCC,1997-12-08,2017-01-26
AMCX,2011-06-16,2017-11-06
AMD,1983-03-21,2017-11-06
AME,1984-07-19,2017-11-06
AMED,1994-08-18,2017-11-06
AMG,1997-11-21,2017-11-06
AMGN,1984-09-07,2017-11-06
AMKR,1998-05-01,2017-11-06
AMNB,1999-04-13,2017-11-06
AMP,2005-09-15,2017-11-06
AMPE,2010-03-31,2017-11-06
AMRC,2010-07-22,2017-11-06
AMRE,2012-07-27,2015-02-18
AMRI,1999-02-04,2017-08-31
AMRS,2010-09-28,2017-11-06
AMSC,1991-12-12,2017-11-06
AMSF,2005-11-18,2017-11-06
AMSG,1997-12-04,2016-12-01
AMSWA,1984-09-07,2017-11-06
AMT,1998-02-27,2017-11-06
AMTD,1997-03-04,2017-11-06
AMTG,2011-07-22,2016-08-31
AMWD,1986-07-21,2017-11-06
AMZG,2006-06-15,2015-05-11
AMZN,1997-05-16,2017-11-06
AN,1992-03-03,2017-08-07
ANAC,2010-11-24,2016-06-24
ANAD,1995-04-21,2016-03-15
ANAT,1984-09-07,2017-11-06
ANCX,2004-07-19,2017-11-06
ANDE,1996-02-20,2017-11-06
ANDV,2017-08-03,2017-11-06
ANF,1996-09-26,2017-11-06
ANGI,2011-11-17,2017-11-06
ANGO,2004-06-01,2017-11-06
ANH,1998-03-12,2017-11-06
ANIK,1993-05-04,2017-11-06
ANIP,2000-05-05,2017-11-06
ANN,1991-05-17,2015-08-21
ANR,2005-02-15,2015-07-16
ANSS,1996-06-21,2017-11-06
ANTM,2001-10-30,2017-11-06
ANV,2007-05-10,2015-03-09
AOI,1995-04-03,2017-11-06
AOL,2009-11-24,2015-06-22
AON,1984-09-07,2017-11-06
AOS,1984-09-07,2017-11-06
AOSL,2010-04-29,2017-11-06
AP,1984-07-19,2017-11-06
APA,1979-05-15,2017-11-06
APAGF,1981-07-21,2015-01-28
APAM,2013-03-07,2017-11-06
APC,1986-09-09,2017-11-06
APD,1983-04-06,2017-11-06
APEI,2007-11-09,2017-11-06
APH,1991-11-08,2017-11-06
APL,2000-01-28,2015-02-27
APOG,1973-05-03,2017-11-06
APOL,1995-01-04,2017-02-01
APP,2006-03-07,2015-10-05
ARAY,2007-02-08,2017-11-06
ARC,2005-02-04,2017-11-06
ARCB,1992-05-13,2017-11-06
ARCC,2004-10-05,2017-11-06
ARCW,1999-06-14,2017-11-06
ARE,1997-05-28,2017-11-06
AREX,2007-11-08,2017-11-06
ARG,1986-12-22,2016-05-20
ARI,2009-09-24,2017-11-06
ARIA,1994-09-19,2017-02-15
