Rank,CityName,StateName,StateCode,Population,Latitude,Longitude,GeonamePopulation,GeonameId
1,New York,New York,NY,8550405,40.71427,-74.00597,8175133,5128581
2,Los Angeles,California,CA,3971883,34.05223,-118.24368,3792621,5368361
3,Chicago,Illinois,IL,2720546,41.85003,-87.65005,2695598,4887398
4,Houston,Texas,TX,2296224,29.76328,-95.36327,2099451,4699066
5,Philadelphia,Pennsylvania,PA,1567442,39.95233,-75.16379,1526006,4560349
6,Phoenix,Arizona,AZ,1563025,33.44838,-112.07404,1445632,5308655
7,San Antonio,Texas,TX,1469845,29.42412,-98.49363,1327407,4726206
8,San Diego,California,CA,1394928,32.71533,-117.15726,1307402,5391811
9,Dallas,Texas,TX,1300092,32.78306,-96.80667,1197816,4684888
10,San Jose,California,CA,1026908,37.33939,-121.89496,945942,5392171
11,Austin,Texas,TX,931830,30.26715,-97.74306,790390,4671654
12,Jacksonville,Florida,FL,868031,30.33218,-81.65565,821784,4160021
13,San Francisco,California,CA,864816,37.77493,-122.41942,805235,5391959
14,Indianapolis,Indiana,IN,853173,39.76838,-86.15804,829718,4259418
15,Columbus,Ohio,OH,850106,39.96118,-82.99879,787033,4509177
16,Fort Worth,Texas,TX,833319,32.72541,-97.32085,741206,4691930
17,Charlotte,North Carolina,NC,827097,35.22709,-80.84313,731424,4460243
18,Seattle,Washington,WA,684451,47.60621,-122.33207,608660,5809844
19,Denver,Colorado,CO,682545,39.73915,-104.9847,600158,5419384
20,El Paso,Texas,TX,681124,31.75872,-106.48693,649121,5520993
21,Detroit,Michigan,MI,677116,42.33143,-83.04575,713777,4990729
22,Washington,DC,,672228,38.89511,-77.03637,601723,4140963
23,Boston,Massachusetts,MA,667137,42.35843,-71.05977,617594,4930956
24,Memphis,Tennessee,TN,655770,35.14953,-90.04898,646889,4641239
25,Nashville,Tennessee,TN,654610,36.16589,-86.78444,530852,4644585
26,Portland,Oregon,OR,632309,45.52345,-122.67621,583776,5746545
27,Oklahoma City,Oklahoma,OK,631346,35.46756,-97.51643,579999,4544349
28,Las Vegas,Nevada,NV,623747,36.17497,-115.13722,583756,5506956
29,Baltimore,Maryland,MD,621849,39.29038,-76.61219,620961,4347778
30,Louisville,Kentucky,KY,615366,38.25424,-85.75941,243639,4299276
31,Milwaukee,Wisconsin,WI,600155,43.0389,-87.90647,594833,5263045
32,Albuquerque,New Mexico,NM,559121,35.08449,-106.65114,545852,5454711
33,Tucson,Arizona,AZ,531641,32.22174,-110.92648,520116,5318313
34,Fresno,California,CA,520052,36.74773,-119.77237,494665,5350937
35,Sacramento,California,CA,490712,38.58157,-121.4944,466488,5389489
36,Kansas City,Missouri,MO,475378,39.09973,-94.57857,459787,4393217
37,Long Beach,California,CA,474140,33.76696,-118.18923,462257,5367929
38,Mesa,Arizona,AZ,471825,33.41253,-111.83189,439041,5304391
39,Atlanta,Georgia,GA,463878,33.749,-84.38798,420003,4180439
40,Colorado Springs,Colorado,CO,456568,38.83388,-104.82136,416427,5417598
41,Virginia Beach,Virginia,VA,452745,36.85293,-75.97799,437994,4791259
42,Raleigh,North Carolina,NC,451066,35.7721,-78.63861,403892,4487042
43,Omaha,Nebraska,NE,443885,41.25626,-95.94043,408958,5074472
44,Miami,Florida,FL,441003,25.79065,-80.13005,87779,4164143
45,Oakland,California,CA,419267,37.80437,-122.2708,390724,5378538
46,Minneapolis,Minnesota,MN,410939,44.97997,-93.26384,382578,5037649
47,Tulsa,Oklahoma,OK,403505,36.15398,-95.99277,391906,4553433
48,Wichita,Kansas,KS,389965,37.69224,-97.33754,382368,4281730
49,New Orleans,Louisiana,LA,389617,29.95465,-90.07507,343829,4335045
50,Arlington,Texas,TX,388125,32.73569,-97.10807,365438,4671240
51,Cleveland,Ohio,OH,388072,41.4995,-81.69541,396815,5150529
52,Bakersfield,California,CA,373640,35.37329,-119.01871,347483,5325738
53,Tampa,Florida,FL,369075,27.94752,-82.45843,335709,4174757
54,Aurora,Colorado,CO,359407,39.72943,-104.83192,325078,5412347
55,Honolulu,Hawaii,HI,352769,21.30694,-157.85833,371657,5856195
56,Anaheim,California,CA,350742,33.83529,-117.9145,336265,5323810
57,Santa Ana,California,CA,335400,33.74557,-117.86783,324528,5392900
58,Corpus Christi,Texas,TX,324074,27.80058,-97.39638,305215,4683416
59,Riverside,California,CA,322424,33.95335,-117.39616,303871,5387877
60,St. Louis,Missouri,MO,315685,38.62727,-90.19789,319294,4407066
61,Lexington,Kentucky,KY,314488,37.98869,-84.47772,225366,4297983
62,Stockton,California,CA,305658,37.9577,-121.29078,291707,5399020
63,Pittsburgh,Pennsylvania,PA,304391,40.44062,-79.99589,305704,5206379
64,St. Paul,Minnesota,MN,300851,44.94441,-93.09327,285068,5045360
65,Anchorage,Alaska,AK,298695,61.21806,-149.90028,291826,5879400
66,Cincinnati,Ohio,OH,298550,39.162,-84.45689,296943,4508722
67,Henderson,Nevada,NV,285667,36.0397,-114.98194,257729,5505411
68,Greensboro,North Carolina,NC,285342,36.07264,-79.79198,269666,4469146
69,Plano,Texas,TX,283558,33.01984,-96.69889,259841,4719457
70,Newark,New Jersey,NJ,281944,40.73566,-74.17237,277140,5101798
71,Toledo,Ohio,OH,279789,41.66394,-83.55521,287208,5174035
72,Lincoln,Nebraska,NE,277348,40.8,-96.66696,258379,5072006
73,Orlando,Florida,FL,270934,28.53834,-81.37924,238300,4167147
74,Chula Vista,California,CA,265757,32.64005,-117.0842,243916,5336899
75,Jersey City,New Jersey,NJ,264290,40.72816,-74.07764,247597,5099836
76,Chandler,Arizona,AZ,260828,33.30616,-111.84125,236123,5289282
77,Fort Wayne,Indiana,IN,260326,41.1306,-85.12886,253691,4920423
78,Buffalo,New York,NY,258071,42.88645,-78.87837,261310,5110629
79,Durham,North Carolina,NC,257636,35.99403,-78.89862,228330,4464368
80,St. Petersburg,Florida,FL,257083,27.77086,-82.67927,244769,4171563
81,Irvine,California,CA,256927,33.66946,-117.82311,212375,5359777
82,Laredo,Texas,TX,255473,27.50641,-99.50754,236091,4705349
83,Lubbock,Texas,TX,249042,33.57786,-101.85517,229573,5525577
84,Madison,Wisconsin,WI,248951,43.07305,-89.40123,233209,5261457
85,Gilbert,Arizona,AZ,247542,33.35283,-111.78903,208453,5295903
86,Norfolk,Virginia,VA,246393,36.84681,-76.28522,242803,4776222
87,Reno,Nevada,NV,241445,39.52963,-119.8138,225221,5511077
88,Winston-Salem,North Carolina,NC,241218,36.09986,-80.24422,229617,4499612
89,Glendale,Arizona,AZ,240126,33.53865,-112.18599,226721,5295985
90,Hialeah,Florida,FL,237069,25.8576,-80.27811,224669,4158476
91,Garland,Texas,TX,236897,32.91262,-96.63888,226876,4693003
92,Scottsdale,Arizona,AZ,236839,33.50921,-111.89903,217385,5313457
93,Irving,Texas,TX,236607,32.81402,-96.94889,216290,4700168
94,Chesapeake,Virginia,VA,235429,36.81904,-76.27494,222209,4752186
95,North Las Vegas,Nevada,NV,234807,36.17497,-115.13722,583756,5506956
96,Fremont,California,CA,232206,37.54827,-121.98857,214089,5350734
97,Baton Rouge,Louisiana,LA,228590,30.45075,-91.15455,229493,4315588
98,Richmond,Virginia,VA,220289,37.55376,-77.46026,204214,4781708
99,Boise City,Idaho,ID,218281,43.8285,-115.83455,485,5596462
100,San Bernardino,California,CA,216108,34.10834,-117.28977,209924,5391710
101,Spokane,Washington,WA,213272,47.65966,-117.42908,208916,5811696
102,Birmingham,Alabama,AL,212461,33.52066,-86.80249,212237,4049979
103,Modesto,California,CA,211266,37.6391,-120.99688,201165,5373900
104,Des Moines,Iowa,IA,210330,41.60054,-93.60911,203433,4853828
105,Rochester,New York,NY,209802,43.15478,-77.61556,210565,5134086
106,Tacoma,Washington,WA,207948,47.25288,-122.44429,198397,5812944
107,Fontana,California,CA,207460,34.09223,-117.43505,196069,5349755
108,Oxnard,California,CA,207254,34.1975,-119.17705,197899,5380184
109,Moreno Valley,California,CA,204198,33.93752,-117.23059,193365,5374732
110,Fayetteville,North Carolina,NC,201963,35.05266,-78.87836,200564,4466033
111,Huntington Beach,California,CA,201899,33.6603,-117.99923,189992,5358705
112,Yonkers,New York,NY,201116,40.93121,-73.89875,195976,5145215
113,Glendale,California,CA,201020,34.14251,-118.25508,191719,5352423
114,Aurora,Illinois,IL,200661,41.76058,-88.32007,197899,4883817
115,Montgomery,Alabama,AL,200602,32.36681,-86.29997,205764,4076784
116,Columbus,Georgia,GA,200579,32.46098,-84.98771,189885,4188985
117,Amarillo,Texas,TX,198645,35.222,-101.8313,190695,5516233
